************************************************************************************
*    Row   *         i *    runnum *        fi *      fill * R2_vpdrsc * R2_zdcrsc *
*      216 *       217 *  16078001 *        17 *     18788 * 1.0077098 * 1.0069266 *
*      217 *       218 *  16078002 *        17 *     18788 * 1.0076977 * 1.0081236 *
*      218 *       219 *  16078003 *        17 *     18788 * 1.0077260 * 1.0075172 *
*      219 *       220 *  16078004 *        17 *     18788 * 1.0076307 * 1.0078816 *
*      220 *       221 *  16078005 *        17 *     18788 * 1.0076100 * 1.0084600 *
*      221 *       222 *  16078006 *        17 *     18788 * 1.0074769 * 1.0066306 *
*      222 *       223 *  16078007 *        17 *     18788 * 1.0076311 * 1.0056462 *
*      223 *       224 *  16078008 *        17 *     18788 *  1.007532 * 1.0085231 *
*      224 *       225 *  16078009 *        17 *     18788 * 1.0075604 * 1.0065250 *
*      225 *       226 *  16078011 *        17 *     18788 * 1.0075629 * 1.0062534 *
*      226 *       227 *  16078012 *        17 *     18788 * 1.0075081 * 1.0067123 *
*      227 *       228 *  16078013 *        17 *     18788 * 1.0074888 * 1.0073535 *
*      228 *       229 *  16078014 *        17 *     18788 * 1.0075459 * 1.0075365 *
*      229 *       230 *  16078027 *        18 *     18789 * 0.9667533 * 0.9658498 *
*      230 *       231 *  16078028 *        18 *     18789 * 0.9661992 * 0.9656010 *
*      231 *       232 *  16078029 *        18 *     18789 * 0.9659523 * 0.9654819 *
*      232 *       233 *  16078030 *        18 *     18789 * 0.9658638 * 0.9650954 *
*      233 *       234 *  16078031 *        18 *     18789 * 0.9657487 * 0.9653785 *
*      234 *       235 *  16078032 *        18 *     18789 * 0.9657025 * 0.9641712 *
*      235 *       236 *  16078033 *        18 *     18789 * 0.9656236 * 0.9646067 *
*      236 *       237 *  16078034 *        18 *     18789 * 0.9655160 * 0.9648966 *
*      237 *       238 *  16078035 *        18 *     18789 * 0.9654503 * 0.9650942 *
*      238 *       239 *  16078036 *        18 *     18789 * 0.9653349 * 0.9646524 *
*      239 *       240 *  16078037 *        18 *     18789 * 0.9653389 * 0.9648410 *
*      240 *       241 *  16078038 *        18 *     18789 * 0.9652508 * 0.9644963 *
*      241 *       242 *  16078039 *        18 *     18789 * 0.9653076 * 0.9646482 *
*      242 *       243 *  16078040 *        18 *     18789 * 0.9652169 * 0.9643312 *
*      243 *       244 *  16078041 *        18 *     18789 * 0.9651852 * 0.9645817 *
*      244 *       245 *  16078042 *        18 *     18789 * 0.9651001 * 0.9643042 *
*      245 *       246 *  16078043 *        18 *     18789 *         0 * 0.9642761 *
*      246 *       247 *  16078055 *        19 *     18790 * 1.0395864 * 1.0390206 *
*      247 *       248 *  16078056 *        19 *     18790 * 1.0392682 * 1.0387615 *
*      248 *       249 *  16079001 *        19 *     18790 * 1.0392057 * 1.0384398 *
*      249 *       250 *  16079002 *        19 *     18790 * 1.0392373 * 1.0389025 *
*      250 *       251 *  16079010 *        20 *     18792 * 1.0452553 * 1.0451480 *
*      251 *       252 *  16079011 *        20 *     18792 * 1.0454049 * 1.0456329 *
*      252 *       253 *  16079013 *        20 *     18792 * 1.0456638 * 1.0451463 *
*      253 *       254 *  16079014 *        20 *     18792 * 1.0458316 * 1.0457336 *
*      254 *       255 *  16079015 *        20 *     18792 * 1.0459958 * 1.0456217 *
*      255 *       256 *  16079016 *        20 *     18792 * 1.0460444 * 1.0457533 *
*      256 *       257 *  16079017 *        20 *     18792 * 1.0461970 * 1.0463377 *
*      257 *       258 *  16079018 *        20 *     18792 * 1.0463897 * 1.0466570 *
*      258 *       259 *  16079019 *        20 *     18792 * 1.0463624 * 1.0462975 *
*      259 *       260 *  16079020 *        20 *     18792 * 1.0463243 * 1.0459120 *
*      260 *       261 *  16079021 *        20 *     18792 * 1.0462909 * 1.0456237 *
*      261 *       262 *  16079022 *        20 *     18792 * 1.0462969 * 1.0463105 *
*      262 *       263 *  16079023 *        20 *     18792 * 1.0464721 * 1.0461795 *
*      263 *       264 *  16079024 *        20 *     18792 * 1.0465213 * 1.0462333 *
*      264 *       265 *  16079027 *        20 *     18792 * 1.0465159 * 1.0463428 *
*      265 *       266 *  16079028 *        20 *     18792 * 1.0466654 * 1.0463060 *
*      266 *       267 *  16079029 *        20 *     18792 * 1.0464706 * 1.0463792 *
*      267 *       268 *  16079030 *        20 *     18792 * 1.0463801 * 1.0460392 *
*      268 *       269 *  16079031 *        20 *     18792 * 1.0465650 * 1.0466551 *
*      269 *       270 *  16079032 *        20 *     18792 * 1.0466921 * 1.0461237 *
*      270 *       271 *  16079033 *        20 *     18792 * 1.0467538 * 1.0458807 *
*      271 *       272 *  16079034 *        20 *     18792 * 1.0468052 *   1.04661 *
*      272 *       273 *  16079035 *        20 *     18792 * 1.0466930 * 1.0467486 *
*      273 *       274 *  16079036 *        20 *     18792 * 1.0467426 * 1.0463296 *
*      274 *       275 *  16079038 *        20 *     18792 *         0 * 1.0460832 *
*      275 *       276 *  16079045 *        21 *     18793 * 0.9670794 * 0.9666277 *
*      276 *       277 *  16079046 *        21 *     18793 * 0.9661557 * 0.9653083 *
*      277 *       278 *  16079047 *        21 *     18793 * 0.9650743 * 0.9642377 *
*      278 *       279 *  16079054 *        21 *     18793 * 0.9633659 * 0.9625599 *
*      279 *       280 *  16079057 *        21 *     18793 * 0.9631387 * 0.9626876 *
*      280 *       281 *  16079058 *        21 *     18793 * 0.9630713 * 0.9617609 *
*      281 *       282 *  16079059 *        21 *     18793 * 0.9629058 * 0.9623484 *
*      282 *       283 *  16079060 *        21 *     18793 * 0.9626939 * 0.9621824 *
*      283 *       284 *  16079061 *        21 *     18793 * 0.9624989 * 0.9614956 *
